-0.49325801,-0.015877355,,-493258.0104
-0.491304118,-0.01585338,,-491304.1175
-0.489392996,-0.015828933,,-489392.9955
-0.487527984,-0.015804062,,-487527.9842
-0.485710509,-0.015778812,,-485710.5088
-0.483939922,-0.015753228,,-483939.9216
-0.482213432,-0.015727353,,-482213.4319
-0.480526143,-0.015701228,,-480526.1431
-0.478871208,-0.015674889,,-478871.2084
-0.477240103,-0.015648367,,-477240.1032
-0.475623004,-0.015621683,,-475623.0036
-0.474009244,-0.015594847,,-474009.2435
-0.472387823,-0.015567856,,-472387.8229
-0.470747928,-0.015540688,,-470747.9282
-0.469079431,-0.015513305,,-469079.4311
-0.467373334,-0.015485656,,-467373.3336
-0.465622135,-0.015457671,,-465622.1352
-0.463820106,-0.015429272,,-463820.1059
-0.461963456,-0.015400375,,-461963.4561
-0.460050404,-0.015370899,,-460050.4044
-0.458081146,-0.015340767,,-458081.1459
-0.45605773,-0.015309918,,-456057.7304
-0.45398386,-0.01527831,,-453983.8604
-0.451864618,-0.015245925,,-451864.6177
-0.449706133,-0.015212771,,-449706.1326
-0.447515204,-0.01517888,,-447515.2043
-0.44529889,-0.015144309,,-445298.8899
-0.443064078,-0.015109129,,-443064.0783
-0.440817072,-0.015073424,,-440817.0716
-0.4385632,-0.01503728,,-438563.1998
-0.436306499,-0.015000776,,-436306.4988
-0.43404948,-0.014963975,,-434049.4802
-0.43179302,-0.014926917,,-431793.0202
-0.429536386,-0.014889613,,-429536.3856
-0.427277406,-0.014852044,,-427277.4064
-0.425012786,-0.014814156,,-425012.7858
-0.422738526,-0.014775865,,-422738.5264
-0.420450434,-0.014737065,,-420450.4343
-0.418144648,-0.014697631,,-418144.6476
-0.415818133,-0.014657431,,-415818.1333
-0.413469092,-0.014616337,,-413469.0918
-0.411097217,-0.014574235,,-411097.2172
-0.408703777,-0.014531033,,-408703.7768
-0.406291492,-0.014486673,,-406291.4918
-0.403864226,-0.014441133,,-403864.2264
-0.401426516,-0.014394431,,-401426.5159
-0.398982986,-0.014346626,,-398982.9855
-0.396537725,-0.014297814,,-396537.7253
-0.394093694,-0.014248121,,-394093.6944
-0.391652223,-0.014197697,,-391652.2228
-0.389212669,-0.014146709,,-389212.6694
-0.386772274,-0.014095325,,-386772.274
-0.38432622,-0.014043711,,-384326.2196
-0.381867895,-0.013992018,,-381867.8945
-0.379389325,-0.013940376,,-379389.3247
-0.376881726,-0.013888886,,-376881.7261
-0.37433612,-0.013837622,,-374336.1201
-0.371743948,-0.01378662,,-371743.9481
-0.369097633,-0.013735885,,-369097.6331
-0.366391038,-0.013685391,,-366391.0382
-0.363619797,-0.013635077,,-363619.7973
-0.3607815,-0.013584862,,-360781.4996
-0.357875735,-0.013534638,,-357875.7347
-0.354904011,-0.01348428,,-354904.0107
-0.351869573,-0.01343365,,-351869.5731
-0.348777152,-0.013382602,,-348777.1524
-0.345632672,-0.013330986,,-345632.6717
-0.342442942,-0.013278653,,-342442.9419
-0.339215365,-0.013225463,,-339215.3652
-0.335957662,-0.01317129,,-335957.6617
-0.332677627,-0.013116026,,-332677.6273
-0.329382922,-0.013059586,,-329382.922
-0.326080887,-0.013001918,,-326080.8866
